No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Skor,Label
15,PT Pema Global Energi,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
16,PT Pema Global Energi,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
17,PT Pema Global Energi,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
18,PT Pema Global Energi,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
19,PT Pema Global Energi,2024,Januari,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
20,PT Pema Global Energi,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
21,PT Pema Global Energi,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
22,Triangle Pase,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
23,Triangle Pase,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
24,Triangle Pase,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
25,Triangle Pase,2024,Januari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
26,Triangle Pase,2024,Januari,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
27,Triangle Pase,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
28,Triangle Pase,2024,Januari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
29,Zaratex N.V.,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
30,Zaratex N.V.,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
31,Zaratex N.V.,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
32,Zaratex N.V.,2024,Januari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
33,Zaratex N.V.,2024,Januari,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,1,Kurang Harmonis
34,Zaratex N.V.,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
35,Zaratex N.V.,2024,Januari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
36,Conrad Asia Energy,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
37,Conrad Asia Energy,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
38,Conrad Asia Energy,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
39,Conrad Asia Energy,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
40,Conrad Asia Energy,2024,Februari,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
41,Conrad Asia Energy,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
42,Conrad Asia Energy,2024,Februari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
43,PT Medco E&P Malaka,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
44,PT Medco E&P Malaka,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
45,PT Medco E&P Malaka,2024,Februari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
46,PT Medco E&P Malaka,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
47,PT Medco E&P Malaka,2024,Februari,Partisipasi,Knowledge Sharing Session,Memberikan edukasi K3LL kepada tim teknis BPMA,3,Harmonis
48,PT Medco E&P Malaka,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
49,PT Medco E&P Malaka,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
50,PT Pema Global Energi,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
51,PT Pema Global Energi,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
52,PT Pema Global Energi,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
53,PT Pema Global Energi,2024,Februari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
54,PT Pema Global Energi,2024,Februari,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,3,Harmonis
55,PT Pema Global Energi,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
56,PT Pema Global Energi,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
57,Triangle Pase,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
58,Triangle Pase,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
59,Triangle Pase,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
60,Triangle Pase,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
61,Triangle Pase,2024,Februari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
62,Triangle Pase,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
63,Triangle Pase,2024,Februari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
64,Zaratex N.V.,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
65,Zaratex N.V.,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
66,Zaratex N.V.,2024,Februari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
67,Zaratex N.V.,2024,Februari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
68,Zaratex N.V.,2024,Februari,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
69,Zaratex N.V.,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
70,Zaratex N.V.,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
71,Conrad Asia Energy,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
72,Conrad Asia Energy,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
73,Conrad Asia Energy,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
74,Conrad Asia Energy,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
75,Conrad Asia Energy,2024,Maret,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
76,Conrad Asia Energy,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
77,Conrad Asia Energy,2024,Maret,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
78,PT Medco E&P Malaka,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
79,PT Medco E&P Malaka,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
80,PT Medco E&P Malaka,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
81,PT Medco E&P Malaka,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
82,PT Medco E&P Malaka,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
83,PT Medco E&P Malaka,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
84,PT Medco E&P Malaka,2024,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
85,PT Pema Global Energi,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
86,PT Pema Global Energi,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
87,PT Pema Global Energi,2024,Maret,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
88,PT Pema Global Energi,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
89,PT Pema Global Energi,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
90,PT Pema Global Energi,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
91,PT Pema Global Energi,2024,Maret,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
92,Triangle Pase,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
93,Triangle Pase,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
94,Triangle Pase,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
95,Triangle Pase,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
96,Triangle Pase,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
97,Triangle Pase,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
98,Triangle Pase,2024,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
99,Zaratex N.V.,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
100,Zaratex N.V.,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
101,Zaratex N.V.,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
102,Zaratex N.V.,2024,Maret,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
103,Zaratex N.V.,2024,Maret,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
104,Zaratex N.V.,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
105,Zaratex N.V.,2024,Maret,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
106,Conrad Asia Energy,2024,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
107,Conrad Asia Energy,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
108,Conrad Asia Energy,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
109,Conrad Asia Energy,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
110,Conrad Asia Energy,2024,April,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
111,Conrad Asia Energy,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
112,Conrad Asia Energy,2024,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
113,PT Medco E&P Malaka,2024,April,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
114,PT Medco E&P Malaka,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
115,PT Medco E&P Malaka,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
116,PT Medco E&P Malaka,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
117,PT Medco E&P Malaka,2024,April,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,3,Harmonis
118,PT Medco E&P Malaka,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
119,PT Medco E&P Malaka,2024,April,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
120,PT Pema Global Energi,2024,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
121,PT Pema Global Energi,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
122,PT Pema Global Energi,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
123,PT Pema Global Energi,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
124,PT Pema Global Energi,2024,April,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,3,Harmonis
125,PT Pema Global Energi,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
126,PT Pema Global Energi,2024,April,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
127,Triangle Pase,2024,April,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
128,Triangle Pase,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
129,Triangle Pase,2024,April,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
130,Triangle Pase,2024,April,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
131,Triangle Pase,2024,April,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
132,Triangle Pase,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
133,Triangle Pase,2024,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
134,Zaratex N.V.,2024,April,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
135,Zaratex N.V.,2024,April,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
136,Zaratex N.V.,2024,April,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
137,Zaratex N.V.,2024,April,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
138,Zaratex N.V.,2024,April,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,1,Kurang Harmonis
139,Zaratex N.V.,2024,April,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
140,Zaratex N.V.,2024,April,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
141,Conrad Asia Energy,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
142,Conrad Asia Energy,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
143,Conrad Asia Energy,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
144,Conrad Asia Energy,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
145,Conrad Asia Energy,2024,Mei,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
146,Conrad Asia Energy,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
147,Conrad Asia Energy,2024,Mei,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
148,PT Medco E&P Malaka,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
149,PT Medco E&P Malaka,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
150,PT Medco E&P Malaka,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
151,PT Medco E&P Malaka,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
152,PT Medco E&P Malaka,2024,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
153,PT Medco E&P Malaka,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
154,PT Medco E&P Malaka,2024,Mei,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
155,PT Pema Global Energi,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
156,PT Pema Global Energi,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
157,PT Pema Global Energi,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
158,PT Pema Global Energi,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
159,PT Pema Global Energi,2024,Mei,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,3,Harmonis
160,PT Pema Global Energi,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
161,PT Pema Global Energi,2024,Mei,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",2,Harmonis
162,Triangle Pase,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,1,Kurang Harmonis
163,Triangle Pase,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
164,Triangle Pase,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
165,Triangle Pase,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
166,Triangle Pase,2024,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
167,Triangle Pase,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,1,Kurang Harmonis
168,Triangle Pase,2024,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
169,Zaratex N.V.,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
170,Zaratex N.V.,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
171,Zaratex N.V.,2024,Mei,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",2,Harmonis
172,Zaratex N.V.,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
173,Zaratex N.V.,2024,Mei,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
174,Zaratex N.V.,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",2,Harmonis
175,Zaratex N.V.,2024,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,1,Kurang Harmonis
176,Conrad Asia Energy,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
177,Conrad Asia Energy,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
178,Conrad Asia Energy,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
179,Conrad Asia Energy,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
180,Conrad Asia Energy,2024,Juni,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,3,Harmonis
181,Conrad Asia Energy,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
182,Conrad Asia Energy,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
183,PT Medco E&P Malaka,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
184,PT Medco E&P Malaka,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
185,PT Medco E&P Malaka,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
186,PT Medco E&P Malaka,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
187,PT Medco E&P Malaka,2024,Juni,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
188,PT Medco E&P Malaka,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
189,PT Medco E&P Malaka,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
190,PT Pema Global Energi,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
191,PT Pema Global Energi,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
192,PT Pema Global Energi,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
193,PT Pema Global Energi,2024,Juni,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,2,Harmonis
194,PT Pema Global Energi,2024,Juni,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,2,Harmonis
195,PT Pema Global Energi,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
196,PT Pema Global Energi,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
197,Triangle Pase,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
198,Triangle Pase,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,1,Kurang Harmonis
199,Triangle Pase,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,1,Kurang Harmonis
200,Triangle Pase,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",1,Kurang Harmonis
