No,Nama KKKS,Tahun,Bulan,Skor_Komunikasi,Skor_Laporan,Skor_Rapat,Skor_Partisipasi,Label_Akhir
55,Zaratex N.V.,2025,Januari,1.5,1.5,1.5,1.0,Kurang Harmonis
56,Conrad Asia Energy,2025,Februari,3.0,2.5,3.0,3.0,Harmonis
57,PT Medco E&P Malaka,2025,Februari,2.5,3.0,3.0,3.0,Harmonis
58,PT Pema Global Energi,2025,Februari,2.5,3.0,2.0,2.5,Harmonis
59,Triangle Pase,2025,Februari,1.5,2.0,1.5,1.0,Kurang Harmonis
60,Zaratex N.V.,2025,Februari,1.0,1.5,1.0,1.5,Kurang Harmonis
61,Conrad Asia Energy,2025,Maret,2.5,3.0,3.0,3.0,Harmonis
62,PT Medco E&P Malaka,2025,Maret,2.5,2.5,2.5,2.5,Harmonis
63,PT Pema Global Energi,2025,Maret,2.0,2.5,3.0,2.5,Harmonis
64,Triangle Pase,2025,Maret,2.0,1.0,1.0,1.5,Kurang Harmonis
65,Zaratex N.V.,2025,Maret,1.0,1.0,1.5,1.0,Kurang Harmonis
66,Conrad Asia Energy,2025,April,3.0,3.0,3.0,2.5,Harmonis
67,PT Medco E&P Malaka,2025,April,2.5,3.0,2.5,2.5,Harmonis
68,PT Pema Global Energi,2025,April,2.0,2.0,2.0,2.5,Harmonis
69,Triangle Pase,2025,April,1.0,1.0,1.5,1.5,Kurang Harmonis
70,Zaratex N.V.,2025,April,1.0,1.5,1.5,1.5,Kurang Harmonis
71,Conrad Asia Energy,2025,Mei,2.5,2.5,3.0,2.5,Harmonis
72,PT Medco E&P Malaka,2025,Mei,2.5,2.5,2.5,3.0,Harmonis
73,PT Pema Global Energi,2025,Mei,2.5,2.5,2.0,3.0,Harmonis
74,Triangle Pase,2025,Mei,1.5,1.5,2.0,1.0,Kurang Harmonis
75,Zaratex N.V.,2025,Mei,1.5,1.0,1.5,1.5,Kurang Harmonis
76,Conrad Asia Energy,2025,Juni,2.5,3.0,2.5,2.5,Harmonis
77,PT Medco E&P Malaka,2025,Juni,3.0,3.0,2.5,2.5,Harmonis
78,PT Pema Global Energi,2025,Juni,2.5,2.5,2.0,2.5,Harmonis
79,Triangle Pase,2025,Juni,1.5,1.5,2.0,1.5,Kurang Harmonis
80,Zaratex N.V.,2025,Juni,1.5,1.0,1.5,1.0,Kurang Harmonis
81,Conrad Asia Energy,2025,Juli,2.5,2.5,3.0,3.0,Harmonis
82,PT Pema Global Energi,2025,Juli,2.5,2.5,3.0,3.0,Harmonis
83,Triangle Pase,2025,Juli,1.5,2.0,1.5,2.0,Kurang Harmonis
84,Zaratex N.V.,2025,Juli,1.5,1.0,1.5,1.5,Kurang Harmonis
85,Conrad Asia Energy,2025,Agustus,2.5,2.5,3.0,2.5,Harmonis
86,PT Medco E&P Malaka,2025,Agustus,2.5,2.5,3.0,3.0,Harmonis
87,PT Pema Global Energi,2025,Agustus,2.0,2.0,2.0,2.5,Harmonis
88,Triangle Pase,2025,Agustus,1.5,1.5,1.5,1.5,Kurang Harmonis
89,Zaratex N.V.,2025,Agustus,1.5,1.0,1.5,1.0,Kurang Harmonis
90,Conrad Asia Energy,2025,September,3.0,3.0,3.0,3.0,Harmonis
91,PT Pema Global Energi,2025,September,2.5,2.5,2.5,2.0,Harmonis
92,Triangle Pase,2025,September,2.0,2.0,1.5,1.0,Kurang Harmonis
93,Zaratex N.V.,2025,September,1.0,1.5,1.5,1.0,Kurang Harmonis
94,Conrad Asia Energy,2025,Oktober,2.5,3.0,3.0,2.5,Harmonis
95,PT Medco E&P Malaka,2025,Oktober,2.5,2.5,2.5,2.5,Harmonis
96,PT Pema Global Energi,2025,Oktober,3.0,2.0,2.0,2.5,Harmonis
97,Triangle Pase,2025,Oktober,1.5,2.0,1.0,2.0,Kurang Harmonis
98,Zaratex N.V.,2025,Oktober,1.5,1.0,1.5,1.5,Kurang Harmonis
99,Conrad Asia Energy,2025,November,2.5,2.5,3.0,3.0,Harmonis
100,PT Medco E&P Malaka,2025,November,3.0,2.5,3.0,2.5,Harmonis
101,PT Pema Global Energi,2025,November,2.5,2.5,3.0,3.0,Harmonis
102,Triangle Pase,2025,November,1.5,1.5,2.0,2.0,Kurang Harmonis
103,Zaratex N.V.,2025,November,1.5,1.0,1.5,1.5,Kurang Harmonis
104,Conrad Asia Energy,2025,Desember,3.0,2.5,3.0,3.0,Harmonis
105,PT Medco E&P Malaka,2025,Desember,3.0,2.5,3.0,2.5,Harmonis
106,PT Pema Global Energi,2025,Desember,2.5,2.0,2.5,2.5,Harmonis
107,Triangle Pase,2025,Desember,2.0,1.5,1.5,1.0,Kurang Harmonis
108,Zaratex N.V.,2025,Desember,1.5,1.0,1.5,1.5,Kurang Harmonis
109,Conrad Asia Energy,2026,Januari,2.5,2.5,2.5,2.5,Harmonis
110,PT Medco E&P Malaka,2026,Januari,3.0,2.5,2.5,3.0,Harmonis
111,PT Pema Global Energi,2026,Januari,3.0,2.5,2.5,2.5,Harmonis
112,Triangle Pase,2026,Januari,2.0,2.0,1.5,1.0,Kurang Harmonis
113,Zaratex N.V.,2026,Januari,1.5,1.0,1.5,1.5,Kurang Harmonis
114,Conrad Asia Energy,2026,Februari,3.0,3.0,3.0,2.5,Harmonis
115,PT Pema Global Energi,2026,Februari,3.0,2.0,2.5,3.0,Harmonis
116,Triangle Pase,2026,Februari,1.5,1.5,1.5,1.0,Kurang Harmonis
117,Zaratex N.V.,2026,Februari,1.0,1.5,1.0,1.5,Kurang Harmonis
118,Conrad Asia Energy,2026,Maret,3.0,3.0,3.0,3.0,Harmonis
119,PT Medco E&P Malaka,2026,Maret,3.0,3.0,3.0,2.5,Harmonis
120,PT Pema Global Energi,2026,Maret,2.5,2.5,2.5,2.5,Harmonis
121,Triangle Pase,2026,Maret,1.0,2.0,1.5,1.5,Kurang Harmonis
122,Zaratex N.V.,2026,Maret,1.5,1.5,1.0,1.5,Kurang Harmonis
123,Conrad Asia Energy,2026,April,2.5,3.0,2.5,2.5,Harmonis
124,PT Medco E&P Malaka,2026,April,2.5,3.0,2.5,3.0,Harmonis
125,PT Pema Global Energi,2026,April,2.5,2.0,2.0,2.5,Harmonis
126,Triangle Pase,2026,April,1.0,1.0,1.5,2.0,Kurang Harmonis
127,Zaratex N.V.,2026,April,1.0,1.0,1.0,1.5,Kurang Harmonis
128,Conrad Asia Energy,2026,Mei,3.0,2.5,2.5,2.5,Harmonis
129,PT Pema Global Energi,2026,Mei,2.5,2.5,2.0,3.0,Harmonis
130,Triangle Pase,2026,Mei,1.5,1.0,2.0,1.5,Kurang Harmonis
131,Zaratex N.V.,2026,Mei,1.0,1.5,1.5,1.5,Kurang Harmonis
132,Conrad Asia Energy,2026,Juni,2.5,2.5,2.5,2.5,Harmonis
133,PT Medco E&P Malaka,2026,Juni,2.5,3.0,2.5,3.0,Harmonis
134,PT Pema Global Energi,2026,Juni,2.5,2.0,3.0,2.0,Harmonis
135,Triangle Pase,2026,Juni,2.0,1.5,1.5,1.5,Kurang Harmonis
136,Zaratex N.V.,2026,Juni,1.5,1.0,1.5,1.0,Kurang Harmonis
137,Conrad Asia Energy,2026,Juli,2.5,2.5,2.5,3.0,Harmonis
138,PT Medco E&P Malaka,2026,Juli,2.5,2.5,2.5,3.0,Harmonis
139,PT Pema Global Energi,2026,Juli,2.5,2.0,2.5,3.0,Harmonis
140,Triangle Pase,2026,Juli,1.5,1.5,1.5,1.0,Kurang Harmonis
141,Zaratex N.V.,2026,Juli,1.5,1.0,1.0,1.5,Kurang Harmonis
142,Conrad Asia Energy,2026,Agustus,3.0,3.0,3.0,2.5,Harmonis
143,PT Medco E&P Malaka,2026,Agustus,3.0,3.0,3.0,2.5,Harmonis
144,PT Pema Global Energi,2026,Agustus,2.5,2.5,2.5,3.0,Harmonis
145,Triangle Pase,2026,Agustus,2.0,1.5,1.5,2.0,Kurang Harmonis
146,Zaratex N.V.,2026,Agustus,1.0,1.0,1.5,1.0,Kurang Harmonis
147,Conrad Asia Energy,2026,September,2.5,3.0,2.5,2.5,Harmonis
148,PT Medco E&P Malaka,2026,September,2.5,3.0,3.0,2.5,Harmonis
149,PT Pema Global Energi,2026,September,2.5,2.0,2.0,2.5,Harmonis
150,Triangle Pase,2026,September,1.5,1.0,1.0,1.0,Kurang Harmonis
151,Zaratex N.V.,2026,September,1.5,1.0,1.0,1.5,Kurang Harmonis
152,Conrad Asia Energy,2026,Oktober,3.0,2.5,2.5,2.5,Harmonis
153,PT Medco E&P Malaka,2026,Oktober,2.5,3.0,3.0,3.0,Harmonis
154,PT Pema Global Energi,2026,Oktober,2.5,3.0,2.5,3.0,Harmonis
155,Triangle Pase,2026,Oktober,2.0,1.5,1.5,1.0,Kurang Harmonis
156,Zaratex N.V.,2026,Oktober,1.0,1.5,1.5,1.0,Kurang Harmonis
157,Conrad Asia Energy,2026,November,3.0,3.0,2.5,3.0,Harmonis
158,PT Medco E&P Malaka,2026,November,2.5,3.0,2.5,2.5,Harmonis
159,PT Pema Global Energi,2026,November,2.0,2.0,2.0,2.5,Harmonis
160,Triangle Pase,2026,November,1.5,1.5,1.5,1.5,Kurang Harmonis
161,Zaratex N.V.,2026,November,1.5,1.0,1.0,1.5,Kurang Harmonis
162,Conrad Asia Energy,2026,Desember,3.0,3.0,2.5,2.5,Harmonis
163,PT Medco E&P Malaka,2026,Desember,2.5,2.5,3.0,2.5,Harmonis
164,PT Pema Global Energi,2026,Desember,2.5,2.5,2.5,2.5,Harmonis
165,Triangle Pase,2026,Desember,2.0,2.0,1.5,1.5,Kurang Harmonis
166,Zaratex N.V.,2026,Desember,1.0,1.0,1.5,1.5,Kurang Harmonis
